Topic,Question,Answer
Training,How can I start to train?,"To start training, navigate to the 'Home' or 'Select Workout' page. You can choose from three workout types: Classic (Warmup + Cardio + Strength), Special (Warmup + Tactical Activity), or Short (Single focused workout). Select the one that fits your schedule and goals."
Training,How do I choose a workout?,"Go to the 'Select Workout' screen. You can browse by category (Strength, Cardio, Special) or choose a pre-made routine. You can also use the 'Quick Workout' option for a fast session."
GPS,Can the app count my km?,"Yes, the app has built-in GPS tracking. It automatically starts tracking during cardio or running components of your workout. It measures total distance (km or miles), average pace, and current speed. Make sure to grant location permissions."
GPS,Do I need to turn on GPS manually?,"No, the GPS starts automatically when you enter a running or cardio segment of a workout. It stops automatically when you move to a strength segment. You can see your live stats on the screen."
Levels,How can I know my level?,"Your fitness level is set in your User Profile. It ranges from Beginner to Elite based on your self-assessment or the 'Assessment Workout'. You can view and update your attributes (Push Strength, Cardio, etc.) in the Settings or Profile page."
Levels,Are the training programs personalized?,"Yes, the training takes your level into account. The app uses a 'Personalization Engine' that scales repetitions, weights, and distances based on your level (0-10). It also adjusts rest periods—higher fitness levels get shorter rest times."
Levels,What determines my specific workout difficulty?,"Each user has 6 fitness attributes: push strength, pull strength, cardio endurance, running volume, rucking volume, and weight work. The app uses these specific scores to tailor the difficulty of relevant exercises in your workout."
General,Is the app available in Hebrew?,"Yes, the app fully supports both Hebrew and English. You can toggle the language in the Settings menu at any time."
General,Who is this app for?,"Azimut Kosher Kravi is designed for IDF soldiers and teenagers preparing for special forces units (Sayeret). It focuses on combat fitness, mental toughness, and military heritage."
Features,What is the Military Chat?,"The Military Chat is an AI-powered coach that acts like an IDF special forces trainer. You can ask it about training tips, nutrition, recruitment processes, or military units. It answers in a tough, motivating style."
Features,What is the Heritage section?,"The Heritage section allows you to explore IDF history, including stories of units, operations, and heroes. It connects your physical training to the values and history of the IDF."
Training,איך אני מתחיל להתאמן?,"כדי להתחיל להתאמן, נווט לדף 'בית' או 'בחר אימון'. אתה יכול לבחור מבין שלושה סוגי אימונים: קלאסי (חימום + אירובי + כוח), מיוחד (חימום + פעילות טקטית), או קצר (אימון ממוקד יחיד). בחר את מה שמתאים ללוח הזמנים ולמטרות שלך."
Training,איך אני בוחר אימון?,"לך למסך 'בחר אימון'. אתה יכול לדפדף לפי קטגוריה (כוח, אירובי, מיוחד) או לבחור שגרה מוכנה מראש. אתה יכול גם להשתמש באפשרות 'אימון מהיר' לאימון זריז."
GPS,האם האפליקציה בודקת מרחק?,"כן, לאפליקציה יש מעקב GPS מובנה. הוא מתחיל לעקוב אוטומטית במהלך רכיבי אירובי או ריצה באימון שלך. הוא מודד מרחק כולל (קמ או מיילים), קצב ממוצע ומהירות נוכחית. ודא שנתת הרשאות מיקום."
GPS,האם אני צריך להפעיל GPS ידנית?,"לא, ה-GPS מתחיל אוטומטית כשאתה נכנס למקטע ריצה או אירובי באימון. הוא עוצר אוטומטית כשאתה עובר למקטע כוח. אתה יכול לראות את הנתונים בזמן אמת על המסך."
Levels,איך אני יודע מה הרמה שלי?,"רמת הכושר שלך מוגדרת בפרופיל המשתמש שלך. היא נעה בין מתחיל לעלית בהתבסס על ההערכה העצמית שלך או 'אימון ההערכה'. אתה יכול לצפות ולעדכן את התכונות שלך (כוח דחיפה, אירובי וכו') בדף ההגדרות או הפרופיל."
Levels,האם האימונים מותאמים אישית לרמה שלי?,"כן, האימון לוקח בחשבון את הרמה שלך. האפליקציה משתמשת ב'מנוע התאמה אישית' שמדרג חזרות, משקלים ומרחקים בהתבסס על הרמה שלך (0-10). היא גם מתאימה את זמני המנוחה - רמות כושר גבוהות יותר מקבלות זמני מנוחה קצרים יותר."
General,האם האפליקציה זמינה בעברית?,"כן, האפליקציה תומכת באופן מלא בעברית ובאנגלית. אתה יכול להחליף את השפה בתפריט ההגדרות בכל עת."